"","longname","shortnam","logmort0","risk","loggdp","campaign","source0","slave","latitude","neoeuro","asia","africa","other","edes1975","campaignsj","campaignsj2","mortnaval1","logmortnaval1","mortnaval2","logmortnaval2","mortjam","logmortjam","logmortcap250","logmortjam250","wandcafrica","malfal94","wacacontested","mortnaval2250","logmortnaval2250","mortnaval1250","logmortnaval1250"
"1","Angola","AGO",5.63478946685791,5.3600001335144,7.76999998092651,1,0,0,0.136700004339218,0,0,1,0,0,1,1,280,5.63478946685791,280,5.63478946685791,280,5.63478946685791,5.52146100997925,5.52146100997925,1,0.949999988079071,1,250,5.52146100997925,250,5.52146100997925
"2","Argentina","ARG",4.23265600204468,6.3899998664856,9.13000011444092,1,0,0,0.377799987792969,0,0,0,0,90,1,1,15.0699996948242,2.71270608901978,30.5,3.41772675514221,56.5,4.03424072265625,4.23265600204468,4.03424072265625,0,0,0,30.5,3.41772675514221,15.0699996948242,2.71270608901978
"3","Australia","AUS",2.14593124389648,9.31999969482422,9.89999961853027,0,0,0,0.300000011920929,1,0,0,1,99,0,1,8.55000019073486,2.14593124389648,8.55000019073486,2.14593124389648,8.55000019073486,2.14593124389648,2.14593124389648,2.14593124389648,0,0,0,8.55000019073486,2.14593124389648,8.55000019073486,2.14593124389648
"4","Burkina Faso","BFA",5.63478946685791,4.44999980926514,6.84999990463257,1,0,0,0.144400000572205,0,0,1,0,0,1,1,280,5.63478946685791,280,5.63478946685791,280,5.63478946685791,5.52146100997925,5.52146100997925,1,0.949999988079071,1,250,5.52146100997925,250,5.52146100997925
"5","Bangladesh","BGD",4.26843786239624,5.1399998664856,6.88000011444092,1,1,0,0.266699999570847,0,1,0,0,0,1,1,71.4100036621094,4.26843786239624,71.4100036621094,4.26843786239624,71.4100036621094,4.26843786239624,4.26843786239624,4.26843786239624,0,0.120080001652241,0,71.4100036621094,4.26843786239624,71.4100036621094,4.26843786239624
"6","Bahamas","BHS",4.44265127182007,7.5,9.28999996185303,0,0,0,0.268299996852875,0,0,0,0,10,0,0,85,4.44265127182007,85,4.44265127182007,85,4.44265127182007,4.44265127182007,4.44265127182007,0,NA,0,85,4.44265127182007,85,4.44265127182007
"7","Bolivia","BOL",4.26268005371094,5.6399998664856,7.92999982833862,1,0,0,0.188899993896484,0,0,0,0,30.0000019073486,1,1,NA,NA,93.25,4.5352840423584,56.5,4.03424072265625,4.26268005371094,4.03424072265625,0,0.0016499999910593,0,93.25,4.5352840423584,NA,NA
"8","Brazil","BRA",4.26268005371094,7.90999984741211,8.72999954223633,1,0,0,0.111100003123283,0,0,0,0,55,1,1,15.0699996948242,2.71270608901978,30.5,3.41772675514221,56.5,4.03424072265625,4.26268005371094,4.03424072265625,0,0.0359999984502792,0,30.5,3.41772675514221,15.0699996948242,2.71270608901978
"9","Canada","CAN",2.77881932258606,9.72999954223633,9.98999977111816,0,1,0,0.666700005531311,1,0,0,0,98,0,0,16.1000003814697,2.77881932258606,16.1000003814697,2.77881932258606,16.1000003814697,2.77881932258606,2.77881932258606,2.77881932258606,0,0,0,16.1000003814697,2.77881932258606,16.1000003814697,2.77881932258606
"10","Chile","CHL",4.23265600204468,7.82000017166138,9.34000015258789,1,0,0,0.333299994468689,0,0,0,0,50,1,1,15.0699996948242,2.71270608901978,30.5,3.41772675514221,56.5,4.03424072265625,4.23265600204468,4.03424072265625,0,0,0,30.5,3.41772675514221,15.0699996948242,2.71270608901978
