"","Code","Country","Year","Gini","Polity","GDP","Industry","FuelExports","CommunistLegacy","Region","Expropriation","SettlerMortality","vdem_corr","militaryexpenditure","educationexpenditure","electricityaccess","netmigration"
"42","GHA","Ghana",1993,33.8,-1,1701.5,24.29,NA,0,4,6.27,668,0.654248237609863,0.526514232158661,20.9851398468018,75.7152786254883,-1e+05
"43","GRC","Greece",1995,35.1,10,14735,23.09,6.52,0,1,NA,NA,0.308062255382538,2.47271680831909,NA,100,49996
"44","GTM","Guatemala",1998,54,3,3670.4,19.66,2.05,0,5,5.14,71,0.834553182125092,0.395734071731567,24.0855007171631,90.5062942504883,-46073
"45","GIN","Guinea",1994,55.1,-1,1801.2,33.07,0.56,0,4,6.55,483,0.821971118450165,3.30508303642273,11.9895095825195,30.9631519317627,-50000
"46","GNB","Guinea-Bissau",1994,44.3,5,920.36,12.2,4.56,1,4,NA,NA,0.865649521350861,1.67692923545837,16.1913795471191,14.0046701431274,-9995
"47","GUY","Guyana",1993,54,6,3672.4,32.64,NA,0,6,5.89,32.18,0.672138392925262,1.34269464015961,10.26060962677,83.5683517456055,-24552
"48","HND","Honduras",1995,58.4,6,2570.4,30.7,0.02,0,5,5.32,78.1,0.781383037567139,1.54988718032837,19.864070892334,89.9817123413086,-14001
"49","HKG","Hong Kong",1996,51.4,NA,23471,16.14,0.97,0,2,8.14,14.9,NA,NA,11.3177003860474,100,-40000
"50","HUN","Hungary",1995,24.2,10,10375,32.34,3.05,1,1,NA,NA,0.299627095460892,0.938358724117279,9.50568008422852,100,29999
"51","IND","India",1995,28.4,9,1993.8,28.12,1.66,0,2,8.27,48.63,0.555331587791443,2.40512824058533,14.0501804351807,88,-2449998
"52","IDN","Indonesia",1996,36.5,-7,3010.9,41.8,25.36,0,7,7.59,170,0.689585506916046,0.886273860931396,20.6299705505371,97.5373687744141,-825000
"53","IRN","Iran",1998,44,-6,5321.7,35.31,NA,0,3,NA,NA,0.708371162414551,2.63072943687439,18.5687503814697,99.9750518798828,-274998
"54","IRL","Ireland",1995,34.3,10,19346,38.17,0.44,0,1,NA,NA,0.0488401800394058,0.351425737142563,13.0079298019409,100,23497
"55","ISR","Israel",1997,35.7,9,21186,NA,0.02,0,3,NA,NA,0.162426576018333,5.67025661468506,14.3263998031616,100,50002
"56","ITA","Italy",1995,36.8,10,23127,31.5,1.26,0,1,NA,NA,0.24514839053154,1.38051223754883,8.00669002532959,100,350000
"57","JAM","Jamaica",1995,61.3,9,3829.7,36.76,0.54,0,7,7.09,130,0.168242707848549,0.868420541286469,20.0514793395996,97.2788848876953,-93000
"58","JPN","Japan",1995,31.6,10,25019,34.22,0.61,0,2,NA,NA,0.0997627675533295,0.960651814937592,9.23847961425781,100,250000
"59","JOR","Jordan",1997,36.4,-2,4055.7,28.92,0.03,0,3,NA,NA,0.51880407333374,4.30447435379028,13.4521102905273,99.9983215332031,0
"60","KAZ","Kazakhstan",1996,35.4,-4,3617.7,32,24.94,1,2,NA,NA,0.846170961856842,1.14119398593903,12.1948699951172,100,0
"61","KEN","Kenya",1994,44.3,-5,1059.5,16.02,6.15,0,4,6.05,145,0.665007054805756,1.33073735237122,16.6646595001221,41.5999984741211,-50000
"62","KOR","Korea, Republic of",1995,33.5,6,13597,41.85,1.98,0,2,NA,NA,0.239697098731995,2.64475846290588,NA,100,2e+05
"63","KGZ","Kyrgyz Republic",1995,39.5,-3,1219.7,19.54,11.05,1,2,NA,NA,0.865498960018158,3.50749969482422,16.2736206054688,99.9065551757812,-100001
"64","LAO","Lao",1997,36.5,-7,1254.9,19.24,NA,1,2,NA,NA,0.861510157585144,0.210767164826393,12.1898803710938,89.6999969482422,-73518
"65","LVA","Latvia",1996,27.6,8,5734.3,29.79,1.76,1,1,NA,NA,0.114790454506874,1.05023539066315,13.9723701477051,100,-50000
"66","LSO","Lesotho",1995,67.5,8,1724.5,39.28,NA,0,4,NA,NA,0.658673822879791,1.88529539108276,NA,27.9232387542725,-19998
"67","LTU","Lithuania",1997,33.7,10,6777.9,33.73,11.39,1,1,NA,NA,0.177366256713867,1.13821125030518,13.1901397705078,100,-25000
