"","index","Cuzco","angertreat","anxietytreat","calmtreat","outvote1","outvote2","age","triste","feliz","enojado","asqueado","preocupado","con.miedo","con.placer","orgulloso","desesperado","risk","socioeconentusiasmo","socioeconenojo","socioeconpreocupacion","socioecontranquilidad","socioeconmiedo","socioeconns","corruptentusiasmo","corruptenojo","corruptpreocupacion","corrupttranquilidad","corruptmiedo","corruptns","pocketeconentusiasmo","pocketeconenojo","pocketeconpreocupacion","pocketecontranquilidad","pocketeconmiedo","pocketeconns","crimeentusiasmo","crimeenojo","crimepreocupacion","crimetranquilidad","crimemiedo","crimens","repentusiasmo","repenojo","reppreocupacion","reptranquilidad","repmiedo","repns","corruptfreq","corruptresp","crimefreq","crimeresp","unempfreq","unempresp","povertyfreq","povertyresp","edqual","edresp","govtcapac","govtcapacresp","participrepresent","leftright","diazleftright","hurtadoleftright","partyid","intefficacy","extefficacy","tvnews","newspaper","radionews","edlevel","classid","treatment","outsidervote","simpletreat"
"18",213,0,1,NA,NA,NA,1,22,0,1,0,0,0,0,0,0,0,66,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,2,3,3,3,2,3,2,4,3,3,1,1,3,3,2,1,1,3,1,3,4,7,2,"anger",0,1
"19",81,0,1,NA,NA,NA,1,22,0,1,0,0,1,0,0,0,0,66,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,2,4,3,3,1,3,3,4,3,3,1,3,6,5,1,9,4,4,2,2,4,5,2,"anger",0,1
"20",294,0,1,NA,NA,1,NA,26,0,1,0,0,0,0,0,0,0,50,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,2,5,4,2,3,2,3,4,-99,1,2,2,4,4,4,3,3,4,2,4,4,5,2,"anger",0,1
"21",389,0,1,NA,NA,1,NA,26,0,1,0,0,0,0,0,0,0,30,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,2,5,4,2,3,2,3,4,-99,1,2,2,4,4,4,3,3,4,2,4,4,7,2,"anger",0,1
"22",232,0,1,NA,NA,NA,1,24,0,0,0,0,1,0,0,0,0,50,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,3,2,6,1,1,2,1,2,2,8,2,"anger",0,1
"23",175,0,1,NA,NA,NA,1,60,1,0,0,0,0,0,0,0,0,50,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2,3,3,3,3,3,3,6,3,3,2,2,3,2,3,1,3,5,1,2,2,8,2,"anger",0,1
"24",303,0,1,NA,NA,NA,1,60,1,0,0,0,0,0,0,0,0,50,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2,3,3,3,3,3,3,6,3,3,2,2,3,2,3,1,3,5,1,2,2,8,2,"anger",0,1
"25",43,0,1,NA,NA,NA,1,55,0,1,0,0,0,0,0,0,0,50,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,4,2,3,3,2,2,3,1,4,3,4,2,1,6,6,6,7,1,3,1,1,1,8,3,"anger",0,1
"26",273,1,1,NA,NA,1,NA,30,1,0,0,0,0,1,0,0,0,50,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,3,2,4,3,3,3,4,3,4,3,2,1,2,1,3,2,8,1,2,2,2,1,8,2,"anger",0,1
"27",279,1,1,NA,NA,1,NA,30,1,0,0,0,0,1,0,0,0,50,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,3,2,4,3,3,3,4,3,4,3,2,1,2,1,3,2,8,1,2,2,2,1,8,2,"anger",0,1
"28",347,0,1,NA,NA,NA,1,47,0,1,0,0,0,0,1,0,0,50,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,3,3,2,3,3,2,3,3,4,3,3,1,1,3,3,3,9,4,2,3,2,4,5,2,"anger",0,1
"29",353,0,1,NA,NA,1,NA,27,1,0,0,1,1,1,0,0,0,50,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,3,1,3,3,3,3,3,3,4,3,3,2,2,3,5,2,7,1,3,1,1,1,8,2,"anger",0,1
"30",2,0,1,NA,NA,1,NA,23,0,0,0,0,0,1,0,0,0,50,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,2,4,1,2,3,3,2,3,3,3,1,1,4,5,3,9,2,2,2,1,4,8,3,"anger",0,1
"31",131,0,1,NA,NA,1,NA,23,0,0,0,0,0,1,0,0,0,40,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,2,4,1,2,3,3,2,3,3,3,1,1,4,5,3,9,2,2,2,1,4,8,3,"anger",0,1
"32",130,0,1,NA,NA,NA,1,25,1,0,0,1,0,0,0,0,0,41,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,4,4,3,5,4,2,3,3,3,5,2,3,5,4,2,7,4,4,4,4,4,7,3,"anger",0,1
"33",426,0,1,NA,NA,1,NA,24,1,0,0,0,0,0,0,0,0,46,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,3,2,2,3,2,2,3,2,4,3,3,2,1,5,4,3,7,1,2,1,1,1,8,2,"anger",0,1
"34",85,0,1,NA,NA,NA,1,27,0,0,1,0,1,1,0,0,0,47,0,0,0,0,1,0,0,0,1,0,0,0,-99,-99,-99,-99,-99,-99,0,0,1,0,0,0,0,1,0,0,0,0,3,2,4,2,3,3,3,3,4,3,3,2,1,3,4,2,8,1,1,1,1,1,8,2,"anger",0,1
"35",187,0,1,NA,NA,NA,1,48,0,1,0,0,0,0,1,0,0,47,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,3,3,4,1,3,2,3,3,6,3,3,3,1,6,2,3,9,2,3,1,1,4,7,3,"anger",0,1
"36",362,0,1,NA,NA,NA,1,54,0,0,0,0,1,0,0,0,0,47,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,2,2,3,3,3,4,3,6,3,3,2,1,4,7,7,7,4,2,1,5,2,5,2,"anger",0,1
